"","Datum","Zeit","X","Y"
"384","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"385","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"386","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"387","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"388","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"389","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"390","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"391","01/10/2021","19:10:00",384675.72679896,5419426.58949866
"392","01/10/2021",NA,385047.779948214,5419910.53460413
"393","02/10/2021","18:50:00",385955.384215147,5419605.1805908
"394","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"395","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"396","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"397","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"398","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"399","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"400","03/10/2021","03:30:00",394364.008853872,5421914.35389966
"401","03/10/2021","19:00:00",386959.692058398,5418896.1228212
"402","03/10/2021",NA,385293.633158234,5419678.49316638
"403","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"404","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"405","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"406","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"407","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"408","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"409","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"410","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"411","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"412","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"413","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"414","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"415","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"416","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"417","05/10/2021","00:00:00",384675.72679896,5419426.58949866
"418","05/10/2021","19:30:00",382323.618325578,5419766.17002814
"419","05/10/2021",NA,383435.368041698,5419344.32735364
"420","08/10/2021","17:59:00",384485.619502979,5419130.38617797
"421","10/10/2021",NA,386851.47969954,5417790.72976433
"422","11/10/2021","00:29:00",385273.364241037,5421290.38877345
"423","11/10/2021","00:29:00",385273.364241037,5421290.38877345
"424","11/10/2021","00:29:00",385273.364241037,5421290.38877345
"425","11/10/2021",NA,388142.058665306,5416929.53150458
"426","12/10/2021",NA,377790.206530321,5420750.19718547
"427","12/10/2021",NA,377790.206530321,5420750.19718547
"428","12/10/2021",NA,378676.261816643,5423375.39939118
"429","13/10/2021",NA,373749.903610618,5436311.60613679
"430","14/10/2021","19:20:00",394077.998468685,5420357.66242613
"431","15/10/2021","19:15:00",395291.221071987,5415240.28009828
"432","17/10/2021",NA,376022.972644267,5433093.95959442
"433","18/10/2021","18:45:00",386702.438267469,5419041.13463499
"434","18/10/2021",NA,377712.285280927,5421539.28409402
"435","20/10/2021",NA,370806.065792303,5438338.08070564
"436","22/10/2021","00:35:00",382817.251238902,5422394.70746397
"437","22/10/2021",NA,377001.168671533,5434438.99158876
"438","23/10/2021",NA,393764.098072568,5414537.26403073
"439","24/10/2021",NA,376022.972644267,5433093.95959442
"440","25/10/2021",NA,388369.031163859,5417498.78506581
"441","25/10/2021",NA,384802.753265067,5419756.57572694
"442","25/10/2021",NA,377164.562309359,5435445.19261087
"443","26/10/2021","00:32:00",377674.528438067,5420688.23613624
"444","26/10/2021","07:00:00",387986.884837141,5417562.83560575
"445","26/10/2021","18:40:00",387986.884837141,5417562.83560575
"446","26/10/2021","18:40:00",387986.884837141,5417562.83560575
"447","26/10/2021","20:00:00",384521.080030659,5419037.79471226
"448","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"449","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"450","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"451","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"452","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"453","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"454","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"455","27/10/2021","00:33:00",378741.54194252,5431792.69636518
"456","27/10/2021",NA,376263.348962722,5435213.9040452
"457","28/10/2021",NA,376716.686308542,5436206.95410396
"458","28/10/2021",NA,376716.686308542,5436206.95410396
"459","29/10/2021","00:36:00",374817.571329582,5435471.04186287
"460","29/10/2021","18:40:00",386650.208888475,5418779.75581234
"461","29/10/2021",NA,377260.100346896,5438567.09245182
"462","29/10/2021",NA,377260.100346896,5438567.09245182
"463","30/10/2021","18:25:00",385959.579295238,5419595.30863595
"464","30/10/2021","19:30:00",385959.579295238,5419595.30863595
"465","01/11/2021",NA,377195.355557103,5431357.39757982
"466","01/11/2021",NA,377195.355557103,5431357.39757982
"467","01/11/2021",NA,377195.355557103,5431357.39757982
"468","01/11/2021",NA,377195.355557103,5431357.39757982
"469","02/11/2021","18:30:00",394443.304366524,5417053.90184705
"470","02/11/2021","18:30:00",394443.304366524,5417053.90184705
"471","02/11/2021","18:30:00",394443.304366524,5417053.90184705
"472","02/11/2021","18:30:00",394443.304366524,5417053.90184705
