# ;Datum;Zeit;Breitengrad_wgs;Laengengrad_wgs
52;31/12/2020;08:12;48.94403585;13.40162489
53;31/12/2020;08:05;48.94403585;13.40162489
54;07/01/2021;17:45;48.95563923;13.3455146
55;10/01/2021;08:00;48.94403585;13.40162489
56;10/01/2021;08:00;48.94403585;13.40162489
57;10/01/2021;08:00;48.94403585;13.40162489
58;08/01/2021;17:05;48.92711429;13.37831933
59;10/01/2021;17:00;48.92143006;13.43079372
60;10/01/2021;17:00;48.92143006;13.43079372
61;12/01/2021;08:00;48.94403585;13.40162489
62;12/01/2021;08:00;48.94403585;13.40162489
63;12/01/2021;08:10;48.94403585;13.40162489
64;12/01/2021;08:10;48.94403585;13.40162489
65;12/01/2021;07:50;48.94403585;13.40162489
66;12/01/2021;08:15;48.94403585;13.40162489
67;12/01/2021;08:20;48.94403585;13.40162489
68;14/01/2021;16:50;48.9479768;13.33708947
69;16/01/2021;17:45;48.92113847;13.44048734
70;18/01/2021;08:00;48.94403585;13.40162489
71;18/01/2021;07:50;48.94403585;13.40162489
72;18/01/2021;07:50;48.94403585;13.40162489
73;18/01/2021;08:05;48.94403585;13.40162489
74;18/01/2021;08:10;48.94403585;13.40162489
75;18/01/2021;08:15;48.94403585;13.40162489
76;18/01/2021;07:45;48.94403585;13.40162489
77;18/01/2021;07:55;48.94403585;13.40162489
78;18/01/2021;08:20;48.94403585;13.40162489
79;18/01/2021;07:55;48.94403585;13.40162489
80;18/01/2021;07:55;48.94403585;13.40162489
81;21/01/2021;17:20;48.92113847;13.44048734
82;22/01/2021;08:00;48.94403585;13.40162489
83;22/01/2021;08:00;48.94403585;13.40162489
84;22/01/2021;08:15;48.94403585;13.40162489
85;22/01/2021;08:25;48.94403585;13.40162489
86;22/01/2021;07:55;48.94403585;13.40162489
87;22/01/2021;08:10;48.94403585;13.40162489
88;22/01/2021;08:05;48.94403585;13.40162489
89;22/01/2021;08:10;48.94403585;13.40162489
90;22/01/2021;08:20;48.94403585;13.40162489
91;22/01/2021;08:25;48.94403585;13.40162489
92;22/01/2021;07:55;48.94403585;13.40162489
93;22/01/2021;08:15;48.94403585;13.40162489
94;22/01/2021;08:20;48.94403585;13.40162489
95;29/01/2021;07:50;48.94403585;13.40162489
96;29/01/2021;07:55;48.94403585;13.40162489
97;29/01/2021;08:00;48.94403585;13.40162489
98;29/01/2021;08:05;48.94403585;13.40162489
99;29/01/2021;07:50;48.94403585;13.40162489
100;29/01/2021;08:10;48.94403585;13.40162489
101;29/01/2021;08:00;48.94403585;13.40162489
102;29/01/2021;07:45;48.94403585;13.40162489
103;29/01/2021;08:05;48.94403585;13.40162489
104;29/01/2021;07:55;48.94403585;13.40162489
105;17/11/2020;00:30;49.09604733;13.19939403
106;24/11/2020;16:00;49.0539942;13.29713584
107;25/11/2020;18:45;49.08068649;13.22188448
108;26/11/2020;21600:0;49.11033326;13.20136855
109;26/11/2020;18:30;49.05185099;13.21142256
110;03/01/2021;17:45;49.09604733;13.19939403
111;07/01/2021;18:30;49.08068649;13.22188448
112;15/01/2021;415:12:00;49.05185099;13.21142256
113;01/04/2020;21:20;48.88316664;13.54778011
114;08/04/2020;22:30;48.88485764;13.51043763
115;24/04/2020;21:30;48.88485764;13.51043763
116;06/06/2020;22:30;48.87829341;13.56725395
117;06/06/2020;22:30;48.87829341;13.56725395
118;09/06/2020;23:55;48.89748833;13.55969509
119;09/06/2020;23:55;48.89748833;13.55969509
120;09/06/2020;23:55;48.89748833;13.55969509
121;07/07/2020;23:50;48.87829341;13.56725395
122;07/07/2020;23:50;48.87829341;13.56725395
123;07/07/2020;23:50;48.87829341;13.56725395
124;27/07/2020;22:15;48.88174744;13.52382393
125;04/08/2020;21:10;48.9434811;13.55434509
126;15/07/2020;21:50;48.962629;13.57911
127;27/09/2020;19:20;48.932641;13.432906
128;02/10/2020;19:15;48.9445;13.551875
129;02/10/2020;19:15;48.9445;13.551875
130;07/10/2020;18:20;48.927515;13.554487
131;09/10/2020;18:20;48.890244;13.563967
132;11/10/2020;NA;48.880084;13.503998
133;12/10/2020;19:00;48.962637;13.579111
134;17/10/2020;18:30;48.941696;13.55606
135;20/10/2020;21:30;48.962637;13.579111
136;31/10/2020;17:00;48.927546;13.554376
137;05/11/2020;16:50;48.937736;13.547118
138;06/11/2020;16:30;48.943684;13.555322
139;07/11/2020;16:40;48.926964;13.55447
140;07/11/2020;16:50;48.926964;13.55447
141;10/11/2020;16:50;48.944789;13.551615
142;11/11/2020;16:45;48.880946;13.562241
143;11/11/2020;16:45;48.880946;13.562241
144;19/11/2020;16:50;48.926964;13.55447
145;19/11/2020;16:50;48.926964;13.55447
146;23/11/2020;16:40;48.933356;13.549409
147;23/11/2020;16:30;48.914373;13.555346
148;23/11/2020;16:30;48.914373;13.555346
149;26/11/2020;17:00;48.944789;13.551615
150;04/12/2020;NA:NA;48.944789;13.551615
151;13/12/2020;NA:NA;48.926964;13.55447
152;15/12/2020;NA:NA;48.914373;13.555346
153;16/12/2020;NA:NA;48.874614;13.541647
154;28/12/2020;NA:NA;48.883541;13.53825
155;07/01/2021;NA:NA;48.914373;13.555346
156;07/01/2021;NA:NA;48.914373;13.555346
157;09/01/2021;NA:NA;48.914373;13.555346
158;09/01/2021;NA:NA;48.914373;13.555346
159;16/01/2021;NA:NA;48.896458;13.56139
160;16/01/2021;NA:NA;48.896458;13.56139
161;16/01/2021;NA:NA;48.896458;13.56139
162;16/01/2021;NA:NA;48.896458;13.56139
163;16/01/2021;NA:NA;48.896458;13.56139
164;17/01/2021;NA:NA;48.878502;13.566641
165;22/01/2021;17:40;48.94804;13.336956
166;27/01/2021;NA:NA;48.884857;13.510739
167;29/01/2021;NA:NA;48.878502;13.566641
